x_ft,y_ft,Kxx,Kxy,Kyy
9.818488929639433045e+05,1.984456775017515465e+05,3.552109363450314024e-03,-1.633200178138302303e-03,2.670756468981255131e-03
9.809620494354320690e+05,1.992887482903581113e+05,1.081013640637951351e-03,-8.933194733840614998e-04,1.268569937939941199e-03
9.810509672393944347e+05,1.995150286594237259e+05,6.111429652458080710e-05,5.833265873891598457e-05,3.218394067172303491e-04
9.810968518990384182e+05,1.997162599628395110e+05,6.620850026373414909e-04,6.310926109113094225e-05,7.137079648814124554e-04
9.811819269940393278e+05,2.000158809242060815e+05,1.552576144056067378e-03,-7.730479558912227434e-04,1.294658901514457883e-03
9.812326684835389024e+05,1.991091333226725110e+05,2.616713098963295678e-04,3.879095870599788245e-05,3.166456246962997905e-04
9.812819012830050196e+05,1.993552240288420580e+05,3.869577692198733466e-04,6.091101217249686336e-05,5.009425737694556558e-04
9.815272126289377920e+05,1.995417270271884045e+05,4.321183889986107739e-04,1.784823251294589627e-04,7.804897182691735097e-04
9.816241532630315050e+05,1.997173758029655146e+05,3.215599227939642504e-04,2.048232259892105133e-05,3.396045301051472476e-04
9.817366256365136942e+05,1.991051493388995586e+05,2.531580148587692352e-04,8.918005546911109886e-05,3.510544689489047228e-04
9.816852046901932918e+05,1.999318407728941820e+05,4.679835492540212203e-04,8.172591832968708215e-05,4.387646275686610080e-04
9.818307611220617546e+05,1.993203603866414051e+05,1.406732023234223250e-04,1.262669824986279062e-04,2.768198388509101010e-04
9.819466176251091529e+05,1.995255082887329045e+05,1.573733508160693494e-04,1.193342982605651644e-04,2.843928429347148778e-04
9.821046821885096142e+05,1.955810374840653676e+05,1.313522205168140200e-03,8.995369022868877169e-04,1.297194812100317543e-03
9.820694262286656303e+05,1.954198504550291109e+05,7.118128696946693368e-02,-7.164849762934664967e-02,7.211877490701314175e-02
9.821425114550243597e+05,1.958603657872441690e+05,2.259287632422720868e-04,6.055499559295786437e-05,1.964993242491835370e-04
9.822603170082238503e+05,1.957170563806171704e+05,9.244671328745352650e-04,4.399951683094877573e-04,7.223576253461042951e-04
9.825595875881320098e+05,1.959583354424344434e+05,1.500048279022845547e-03,1.273650748508538223e-03,1.081422679430741988e-03
9.819891561642684974e+05,1.962471839748568018e+05,9.343578043530552163e-04,1.020256716609573315e-03,1.219194708886682044e-03
9.820491612796208356e+05,1.963793346709357284e+05,5.031001277767371393e-04,3.644383045731242315e-04,1.063029929060840687e-03
9.821519608962893253e+05,1.965051630877424031e+05,4.675978443455510933e-04,2.155136508813026056e-05,5.183245932033648130e-04
9.822234666827218607e+05,1.969371791060543619e+05,4.646288565459714363e-04,-2.839091654130587879e-04,3.698243663408990649e-04
9.821967719100515824e+05,1.961901348975338333e+05,6.696992947989398705e-04,2.169340041336916599e-04,5.354326534479171605e-04
9.822922857682508184e+05,1.966175080706160807e+05,3.808368687397532685e-04,3.177847271600608894e-04,5.798411058246591421e-04
9.823446378418568056e+05,1.960443465995919541e+05,3.274728462317815728e-04,-8.651086090518535319e-05,3.474422125105925091e-04
9.823690110224592499e+05,1.963680410730509320e+05,3.312687217243223009e-04,1.553176505512507855e-04,3.373664631722348545e-04
