x_ft,y_ft,Kxx,Kxy,Kyy
9.817492528876665747e+05,1.962273222368855786e+05,3.977146859302067838e+01,4.839829836635126448e+00,1.383653036434095540e+01
9.817325070829065517e+05,1.963479873442345997e+05,8.303213441182430543e+00,1.109227987943566918e+00,1.395087446779272433e+01
9.817589792962714564e+05,1.968127227145047509e+05,1.367168412172267900e+01,-5.902220860398005087e+00,1.194220604670448793e+01
9.818414222026966745e+05,1.965270161102334096e+05,6.268866391916100511e+00,-1.821314362655947816e+00,7.580816895720539961e+00
9.818335362385408953e+05,1.969936377427769767e+05,5.889549741239295422e+00,8.690884841592372290e-02,6.934798623639623294e+00
9.819986924411110813e+05,1.960210351440942031e+05,1.802972403729602391e+01,1.647886512996012343e+01,1.506140701166792439e+01
9.809643520220249193e+05,1.971933669864397962e+05,3.565017633435739075e+00,5.763841343633275827e+00,9.320709621735659312e+00
9.810362186970055336e+05,1.978606956197207328e+05,5.692666680121230627e+01,8.370386715817258505e+01,1.918370410429762956e+02
9.811446747903750511e+05,1.970338475574154290e+05,5.122904961219989062e+00,-4.555162621014841484e+00,4.050339926460284623e+00
9.811096605169138638e+05,1.973138158215757867e+05,6.927589287275300656e+00,1.681050032538567107e+00,9.839645028222859580e+00
9.811985879578843014e+05,1.974247380327750288e+05,1.117000445168417322e+01,1.574591583339133738e+00,1.224097733305910474e+01
